company_name,sic_nace_code,industry
MediServices,3312,Machinery Repair
SafeSolutions,7311,Advertising Agencies
PrimeCorp,2610,Semiconductor Manufacturing
QuantumHoldings,5010,Water Transport
NovaIndustries,2011,Chemical Manufacturing
SafeCorp,2610,Semiconductor Manufacturing
ByteServices,0111,Wheat Farming
QuantumVentures,2511,Metal Product Manufacturing
ByteGlobal,7022,Business Consulting
SafeSystems,2610,Semiconductor Manufacturing
UrbanLLC,2511,Metal Product Manufacturing
ByteSolutions,8610,Hospital Activities
PrimeLLC,2610,Semiconductor Manufacturing
TechIndustries,4511,Motor Vehicle Wholesale
NovaGroup,1310,Textile Manufacturing
NovaGlobal,8121,Cleaning Services
QuantumServices,1101,Beverage Production
SafeVentures,2011,Chemical Manufacturing
NovaIndustries,8610,Hospital Activities
MediIndustries,2610,Semiconductor Manufacturing
